customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges.Monthly,account_Charges.Total,Contas_Diarias,Churn_Bin,customer_gender_Bin
0133-Bmfzo,Yes,Female,0,No,No,2,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,86.25,181.65,2.88,1.0,0
0134-Xwxce,No,Female,1,No,No,44,Yes,No,Dsl,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Transfer (Automatic),74.85,3268.05,2.49,0.0,0
0135-Nmxap,Yes,Female,0,No,No,12,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Bank Transfer (Automatic),89.75,1052.4,2.99,1.0,0
0136-Ifmyd,No,Male,1,Yes,No,69,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Electronic Check,109.95,7634.25,3.66,0.0,1
0137-Ocgab,Yes,Female,0,No,No,1,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-To-Month,Yes,Mailed Check,80.2,80.2,2.67,1.0,0
0137-Udeuo,Yes,Female,0,No,No,3,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,19.85,63.75,0.66,1.0,0
0139-Ivfjg,No,Female,0,Yes,No,2,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-To-Month,No,Electronic Check,90.35,190.5,3.01,0.0,0
0141-Yeays,No,Female,1,No,No,27,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),86.45,2401.05,2.88,0.0,0
0142-Gvysn,No,Male,0,No,No,26,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,Yes,Electronic Check,20.3,511.25,0.68,0.0,1
0147-Eswwr,No,Female,1,Yes,No,39,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,101.25,3949.15,3.38,0.0,0
0148-Dcdos,Yes,Male,0,No,No,25,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),94.7,2362.1,3.16,1.0,1
0151-Ontov,Yes,Female,0,No,No,1,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-To-Month,No,Mailed Check,70.9,70.9,2.36,1.0,0
0154-Qyhju,,Male,0,No,No,29,Yes,No,Dsl,Yes,Yes,No,Yes,No,No,One Year,Yes,Electronic Check,58.75,1696.2,1.96,0.0,1
0156-Fvpta,Yes,Male,0,Yes,No,22,Yes,No,Dsl,Yes,No,No,Yes,No,No,Month-To-Month,Yes,Electronic Check,54.2,1152.7,1.81,1.0,1
0162-Rzgmz,,Female,1,No,No,5,Yes,No,Dsl,Yes,Yes,No,Yes,No,No,Month-To-Month,No,Credit Card (Automatic),59.9,287.85,2.0,0.0,0
0164-Apgrb,No,Female,0,No,No,72,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Electronic Check,114.9,8496.7,3.83,0.0,0
0164-Xairp,No,Female,0,No,No,24,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Automatic),19.55,470.2,0.65,0.0,0
0168-Xzkbb,No,Female,0,Yes,No,19,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-To-Month,Yes,Electronic Check,86.85,1564.4,2.9,0.0,0
0174-Qrvvy,No,Male,0,Yes,Yes,71,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Credit Card (Automatic),25.35,1847.55,0.85,0.0,1
0177-Pxbat,No,Male,1,Yes,No,33,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Bank Transfer (Automatic),109.9,3694.7,3.66,0.0,1
0178-Ciikr,No,Female,0,No,No,3,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,19.95,58,0.66,0.0,0
0178-Szbho,No,Male,0,Yes,Yes,47,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,No,Electronic Check,87.2,4017.45,2.91,0.0,1
0181-Ritdd,No,Male,0,Yes,Yes,62,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,108.15,6825.65,3.6,0.0,1
0186-Caerr,No,Male,0,No,No,71,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Transfer (Automatic),116.3,8309.55,3.88,0.0,1
0187-Qsxoe,No,Male,1,Yes,No,7,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,89.0,605.45,2.97,0.0,1
0187-Wznab,No,Female,0,Yes,Yes,27,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,No,Mailed Check,74.4,1972.35,2.48,0.0,0
0188-Gwfle,No,Male,0,No,No,2,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Mailed Check,20.05,33.7,0.67,0.0,1
0191-Equuh,No,Female,0,No,Yes,25,No,No Phone Service,Dsl,Yes,No,No,Yes,No,No,Two Year,No,Bank Transfer (Automatic),35.05,844.45,1.17,0.0,0
0191-Zhskz,No,Male,1,No,No,30,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,74.75,2111.3,2.49,0.0,1
0193-Eszxp,Yes,Female,1,Yes,No,58,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card (Automatic),105.5,6205.5,3.52,1.0,0
0195-Iescp,Yes,Male,0,Yes,No,10,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,85.25,855.3,2.84,1.0,1
0196-Jtuqi,No,Female,0,No,No,9,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),75.2,633.85,2.51,0.0,0
0196-Vulgz,Yes,Female,1,Yes,No,6,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-To-Month,Yes,Electronic Check,84.35,474.9,2.81,1.0,0
0197-Pnknk,No,Female,0,Yes,Yes,69,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,One Year,No,Bank Transfer (Automatic),84.45,5848.6,2.82,0.0,0
0201-Mibol,No,Female,1,No,No,66,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Two Year,Yes,Bank Transfer (Automatic),102.4,6471.85,3.41,0.0,0
0201-Oamxr,Yes,Female,0,No,No,70,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card (Automatic),115.55,8127.6,3.85,1.0,0
0203-Hhyij,Yes,Male,0,No,No,25,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Transfer (Automatic),25.3,676.35,0.84,1.0,1
0206-Oyvoc,No,Female,0,Yes,Yes,46,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Mailed Check,19.25,864.2,0.64,0.0,0
0206-Tbwlc,No,Female,0,Yes,No,54,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,114.65,6049.5,3.82,0.0,0
0207-Mdknv,Yes,Female,0,No,No,15,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-To-Month,No,Electronic Check,105.1,1582.75,3.5,1.0,0
0208-Bpqej,No,Female,0,Yes,Yes,12,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-To-Month,No,Bank Transfer (Automatic),19.4,198.1,0.65,0.0,0
0212-Isbbf,No,Female,0,No,No,22,No,No Phone Service,Dsl,No,Yes,No,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,50.35,1098.85,1.68,0.0,0
0214-Jhpfw,No,Female,0,Yes,No,70,No,No Phone Service,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Transfer (Automatic),57.8,4039.3,1.93,0.0,0
0215-Bqkgs,No,Male,0,No,No,30,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-To-Month,Yes,Credit Card (Automatic),84.3,2438.6,2.81,0.0,1
0218-Qnvas,No,Male,0,Yes,Yes,71,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,One Year,No,Bank Transfer (Automatic),100.55,7113.75,3.35,0.0,1
0219-Qaerp,No,Male,0,Yes,No,30,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card (Automatic),19.8,576.65,0.66,0.0,1
0219-Ytzue,Yes,Male,0,Yes,Yes,4,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Month-To-Month,Yes,Bank Transfer (Automatic),84.8,371.9,2.83,1.0,1
0220-Ebgce,Yes,Male,0,No,No,2,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,Month-To-Month,Yes,Electronic Check,85.85,167.3,2.86,1.0,1
0221-Nauxk,No,Male,0,No,Yes,10,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Bank Transfer (Automatic),19.95,219.5,0.66,0.0,1
0221-Wmxnq,No,Male,1,No,No,4,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Month-To-Month,No,Electronic Check,75.35,273.4,2.51,0.0,1
0222-Cnvpt,No,Male,1,No,No,52,No,No Phone Service,Dsl,Yes,No,No,No,Yes,Yes,Month-To-Month,Yes,Credit Card (Automatic),48.8,2555.05,1.63,0.0,1
0224-Hjapt,Yes,Male,0,No,No,5,Yes,Yes,Dsl,No,No,No,No,No,No,Month-To-Month,No,Electronic Check,47.15,223.15,1.57,1.0,1
0224-Nijlp,No,Male,0,Yes,Yes,8,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,20.15,165.5,0.67,0.0,1
0224-Rlwwd,No,Female,1,No,No,2,Yes,No,Dsl,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,44.3,89.3,1.48,0.0,0
0225-Zorzp,No,Male,0,No,No,3,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Month-To-Month,No,Electronic Check,84.3,235.05,2.81,0.0,1
